root_hair	non-hair_epidermis	QC	Stele	xylem_pole_pericycle	lateral_root_cap	Lateral_root	phloem_pole_pericycle	protophloem	developing_xylem	endodermis	companion_cells	Stele
AT5G67510	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G56300	1	1	0	1	1	1	1	1	1	1	1	1	1
AT3G52460	1	0	0	0	0	0	0	0	0	0	0	0	0
AT5G60740	0	1	0	1	0	1	0	0	0	0	0	0	0
AT3G22290	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G26130	0	0	0	1	0	1	0	0	0	1	0	0	1
AT3G26640	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G59550	0	1	1	1	1	1	1	0	1	1	1	0	1
AT3G01500	0	0	0	0	0	1	0	0	0	0	0	0	0
AT1G33280	1	1	0	0	0	1	0	0	0	0	1	0	1
AT5G12200	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G02125	0	0	0	0	0	0	0	0	0	0	0	0	0
ATCG00710	1	1	1	0	1	1	1	1	1	1	1	1	1
AT1G07460	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G56100	0	0	1	0	0	0	1	0	0	1	0	0	1
AT2G26900	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G47620	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G56610	1	1	1	1	1	1	1	1	1	0	1	1	1
AT5G52260	0	0	0	0	0	0	0	0	1	0	0	0	0
AT5G04750	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G11390	1	0	0	0	0	0	0	0	0	0	0	0	0
AT5G40850	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G63250	0	1	1	1	1	1	1	1	1	1	1	1	1
AT1G15230	0	1	1	1	1	1	1	1	1	1	1	1	1
AT3G15740	0	1	0	1	0	1	0	0	0	0	1	0	1
AT5G62540	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G18990	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G33080	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04010	1	1	1	1	1	1	0	1	0	1	1	0	1
AT2G41820	0	0	0	1	1	0	1	1	1	1	0	1	1
AT5G10680	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G22380	0	0	0	1	0	0	0	0	0	0	0	0	0
AT1G29470	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G62030	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G14520	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G03300	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G73020	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G21670	0	0	0	0	0	0	0	0	0	0	1	0	0
AT1G18250	0	0	1	1	1	1	1	1	1	1	1	1	1
AT1G44070	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G13190	0	0	1	1	0	0	0	0	0	1	0	0	0
AT1G47200	1	1	1	1	1	1	1	0	1	1	1	1	1
AT4G25050	0	1	0	1	0	1	1	1	0	0	0	1	0
AT5G06550	0	1	1	1	1	1	1	0	1	1	1	1	1
AT3G28760	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G21930	1	0	0	0	0	1	0	0	1	0	1	0	1
AT1G24180	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G02490	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G51130	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G51640	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G25820	1	0	0	0	0	0	0	0	1	0	0	0	0
AT2G43620	1	1	0	0	0	1	1	0	0	0	1	0	1
AT5G58730	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G50420	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G10770	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G65880	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G24600	1	1	1	1	1	1	1	1	1	0	1	1	1
AT1G06130	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G05160	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G47000	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G13280	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G54150	0	1	0	1	0	1	0	0	0	0	1	0	0
AT1G49000	0	0	0	0	0	1	0	0	0	0	0	0	0
AT3G06640	0	0	0	0	0	0	0	0	0	0	0	0	0
