AT1G07240,256058_at
AT1G07250,256033_at
AT1G07260,256053_at
AT1G07270,256040_at
AT1G07280,261075_at
AT1G07290,261074_at
AT1G07300,261073_at
AT1G07310,261083_at
AT1G07320,261078_at
AT1G07330,257489_at
AT1G07340,261072_at
AT1G07350,261081_at
AT1G07360,261082_at
AT1G07370,261080_at
AT1G07380,261071_at
AT1G07390,261070_at
AT1G07410,261069_at
AT1G07420,261076_at
AT1G07430,261077_at
AT1G07440,261084_at
AT1G07450,261068_at
AT1G07460,261067_at
AT1G07480;AT1G07470,261079_s_at
AT1G07485,261066_at
AT1G07500,261065_at
AT1G07510,261064_at
AT1G07520,261063_at
AT1G07530,261062_at
AT1G07540,261061_at
AT1G07550,261091_at
AT1G07560,261090_at
AT1G07570,261089_at
AT1G07590,261088_at
AT1G07590;AT1G07600,261438_at
AT1G07610,261410_at
AT1G07615,261435_at
AT1G07630,261413_at
AT1G07640,261409_at
AT1G07650,261434_at
AT1G07660;AT1G07820,261408_s_at
AT1G07670;AT1G07810,261433_s_at
AT1G07680,261432_at
AT1G07690,261466_at
AT1G07700,261417_at
AT1G07705,261465_at
AT1G07720,261420_at
AT1G07740,261463_at
AT1G07740;AT1G07730,261464_at
AT1G07745,261437_at
AT1G07750,261415_at
AT1G07770,261416_at
AT1G07780;AT1G29410;AT5G05590,259770_s_at
AT1G07790,261411_at
AT1G07795,261414_at
AT1G07830,261418_at
AT1G07840,261419_at
AT1G07850,261462_at
AT1G07860,261461_at
AT1G07870,261436_at
AT1G07880,261460_at
AT1G07890,261412_at
AT1G07910,260677_at
AT1G07940;AT1G07930;AT5G60390;AT1G07920,247644_s_at
AT1G07950;AT1G16430,262714_s_at
AT1G07960,257495_at
AT1G07970,260678_at
AT1G07980,260622_at
AT1G07990,260679_at
AT1G08000;AT1G08010,260680_s_at
AT1G08030,260647_at
AT1G08040,260626_at
AT1G08050,260648_at
AT1G08060,260625_at
AT1G08065,260621_at
AT1G08070,260620_at
AT1G08080,260649_at
AT1G08090,260623_at
AT1G08100,260624_at
AT1G08110,260619_at
AT1G08130,261810_at
AT1G08135,261816_at
AT1G08170,261755_at
AT1G08180,261817_at
AT1G08190,261783_at
AT1G08200;AT2G27860,266205_s_at
AT1G08210,261757_at
AT1G08220,261784_at
AT1G08230,261785_at
AT1G08250,261758_at
AT1G08260,261811_at
AT1G08270,261812_at
AT1G08280,261813_at
AT1G08310,261814_at
AT1G08315,261756_at
AT1G08320,261815_at
AT1G08340,261809_at
AT1G08350,261747_at
AT1G08360,261694_at
AT1G08370,261693_at
AT1G08380,261746_at
AT1G08390,261742_at
AT1G08410,245227_s_at
AT1G08430,257481_at
AT1G08450,261692_at
AT1G08460,261720_at
AT1G08470,261696_at
AT1G08480,261721_at
AT1G08490,261744_at
AT1G08500,261745_at
AT1G08510,261722_at
AT1G08520,261695_at
AT1G08540,264781_at
AT1G08550,264799_at
AT1G08560,264802_at
AT1G08570,264779_at
AT1G08580,264803_at
AT1G08590,264804_at
AT1G08600,264805_at
AT1G08610,264806_at
AT1G08620,264792_at
AT1G08630,264777_at
AT1G08640,264811_at
AT1G08650,264783_at
AT1G08660,264793_at
AT1G08670,264794_at
AT1G08680,264796_at
AT1G08680,264795_at
AT1G08700,264807_at
AT1G08710,264797_at
AT1G08720,264780_at
AT1G08730,264798_at
AT1G08750,264810_at
AT1G08770,264808_at
AT1G08780,264778_at
AT1G08800,264800_at
AT1G08810,264782_at
AT1G08830,264809_at
AT1G08840,264801_at
AT1G08860,264646_at
AT1G08880,264651_at
AT1G08890;AT1G08900,264654_s_at
AT1G08920,264652_at
AT1G08930,264624_at
AT1G08940,264645_at
AT1G08960,264644_at
AT1G08970,264650_at
AT1G08980,264653_at
AT1G08990,264643_at
AT1G09000,264623_at
AT1G09010,264656_at
AT1G09020,264625_at
AT1G09030,264642_at
AT1G09060,264649_at
AT1G09070,264655_at
AT1G09080,264648_at
AT1G09090,264647_at
AT1G09100,264657_at
AT1G09130,264641_at
AT1G09140,264255_at
AT1G09150,264254_at
AT1G09155,264263_at
AT1G09160,264266_at
AT1G09170,264253_at
AT1G09180,264252_at
AT1G09190,264251_at
AT1G09200,264262_at
AT1G09210,264260_at
AT1G09220,264258_at
AT1G09230,264257_at
AT1G09240,264261_at
AT1G09250,264264_at
AT1G09270,264256_at
AT1G09280,264265_at
AT1G09290,264259_at
AT1G09300,263707_at
AT1G09310,263709_at
AT1G09320,263708_at
AT1G09330,263710_at
AT1G09340,263676_at
AT1G09350,264511_at
AT1G09360,264555_at
AT1G09370,264500_at
AT1G09380,264505_at
AT1G09390,264501_at
AT1G09400,264502_at
AT1G09410,264503_at
AT1G09415,264507_at
AT1G09420,264513_at
AT1G09430,264504_at
AT1G09440,264549_at
AT1G09450,264550_at
AT1G09460,264551_at
AT1G09480;AT1G09490,264553_s_at
AT1G09500,264514_at
AT1G09510,264554_at
AT1G09520,264509_at
AT1G09530,264510_at
AT1G09550,264557_at
AT1G09560,264506_at
AT1G09570,264508_at
AT1G09575,264512_at
AT1G09600,264558_at
AT1G09610,264559_at
AT1G09620,264705_at
AT1G09630,264669_at
AT1G09660,264665_at
AT1G09660,264664_at
AT1G09680,264666_at
AT1G09690;AT1G09590,264679_s_at
AT1G09700,264677_at
AT1G09720,264706_at
AT1G09730,264707_at
AT1G09740,264708_at
AT1G09750,264672_at
AT1G09760,264678_at
AT1G09770,264709_at
AT1G09780,264668_at
AT1G09790,264710_at
AT1G09795,264673_at
AT1G09800,264711_at
AT1G09810,264712_at
AT1G09815,264674_at
AT1G09820,264713_at
AT1G09830,264675_at
AT1G09840,264686_at
AT1G09850,264687_at
AT1G09870,264676_at
AT1G09890,264688_at
AT1G09900,264689_at
AT1G09910,264658_at
AT1G09920,264671_at
AT1G09930,264659_at
AT1G09940,264660_at
AT1G09950,264661_at
AT1G09960,264662_at
AT1G09970,264663_at
AT1G09980,264518_at
AT1G10000,264519_at
AT1G10010,264520_at
AT1G10020,264521_at
AT1G10030,264523_at
AT1G10050,264522_at
AT1G10060,264525_at
AT1G10070,264524_at
AT1G10090,264515_at
AT1G10090,264516_at
AT1G10110,257417_at
AT1G10120,264517_at
AT1G10130,264526_at
AT1G10140,264467_at
AT1G10150,264463_at
AT1G10160,264459_at
AT1G10170,264460_at
AT1G10180,264407_at
AT1G10190;AT4G15050,264461_s_at
AT1G10200,264462_at
AT1G10210,264405_at
AT1G10230,264465_at
AT1G10240,264408_at
AT1G10250;AT1G10450,264450_s_at
AT1G10270,264452_at
AT1G10290,264406_at
AT1G10300,264453_at
AT1G10310,264468_at
AT1G10320,264454_at
AT1G10330,264455_at
AT1G10340,264434_at
AT1G10350,264464_at
AT1G10360,264435_at
AT1G10370,264436_at
AT1G10380,264466_at
AT1G10390,264456_at
AT1G10400,264457_at
AT1G10410,264458_at
AT1G10420,263234_at
AT1G10430,263235_at
AT1G10460,263211_at
AT1G10470,263236_at
AT1G10480,263208_at
AT1G10490,263255_at
AT1G10500,263256_at
AT1G10510,263212_at
AT1G10520,263257_at
AT1G10522,263209_at
AT1G10530,257450_at
AT1G10540,263258_at
AT1G10550,263207_at
AT1G10560,263259_at
AT1G10570,263260_at
AT1G10585,263210_at
AT1G10590,263206_at
AT1G10610,263237_at
AT1G10620,261830_at
AT1G10630,261831_at
AT1G10640,261834_at
AT1G10650,261832_at
AT1G10660,257477_at
AT1G10670,261833_at
AT1G10680,261829_at
AT1G10690,262788_at
AT1G10700,262762_at
AT1G10710,262792_at
AT1G10720,262761_at
AT1G10730,262787_at
AT1G10740,262786_at
AT1G10750,262785_at
AT1G10760,262784_at
AT1G10770,262760_at
AT1G10780,262758_at
AT1G10800,262759_at
AT1G10810,262789_at
AT1G10830,262791_at
AT1G10840,262790_at
AT1G10850,262783_at
AT1G10870,260469_at
AT1G10880,260473_at
AT1G10890,260467_at
AT1G10900,260466_at
AT1G10910,260465_at
AT1G10920,260464_at
AT1G10940,260480_at
AT1G10950,260482_at
AT1G10960,260481_at
AT1G10970,260462_at
AT1G10980,260461_at
AT1G10990,260472_at
AT1G11000,260483_at
AT1G11020,260479_at
AT1G11040,260478_at
AT1G11050,260477_at
AT1G11060,260476_at
AT1G11070,260471_at
AT1G11080,260475_at
AT1G11090,260474_at
AT1G11100,260468_at
AT1G11120,260470_at
AT1G11130,262479_at
AT1G11130,262451_at
AT1G11160,262449_at
AT1G11170,262478_at
AT1G11190,262454_at
AT1G11200,262457_at
AT1G11210,262452_at
AT1G11220,262477_at
AT1G11240,262453_at
AT1G11250,262511_at
AT1G11260,262456_at
AT1G11270,262510_at
AT1G11280,262458_at
AT1G11290,262509_at
AT1G11300,262508_at
AT1G11310,262455_at
AT1G11320,262450_at
AT1G11330,262507_at
AT1G11340,262480_at
AT1G11350,261873_at
AT1G11360,261828_at
AT1G11370,261849_at
AT1G11380,261822_at
AT1G11390,261818_at
AT1G11400,261823_at
AT1G11410,261819_at
AT1G11420,261820_at
AT1G11430,261824_at
AT1G11440,261871_at
AT1G11450;AT1G11460,261868_s_at
AT1G11470,261869_at
AT1G11480,261827_at
AT1G11530,261821_at
AT1G11540,261846_at
AT1G11545,261825_at
AT1G11560,261847_at
AT1G11570,261870_at
AT1G11580,261826_at
AT1G11590,261848_at
AT1G11600,262819_at
AT1G11610,262815_at
AT1G11630,262822_at
AT1G11650,262824_at
AT1G11660,262814_at
AT1G11670,262813_at
AT1G11680,262820_at
AT1G11690,262812_at
AT1G11700,262811_at
AT1G11710,262810_at
AT1G11720,262809_at
AT1G11730,262808_at
AT1G11740,262807_at
AT1G11750,262823_at
AT1G11755,262818_at
AT1G11770,262817_at
AT1G11780,262816_at
AT1G11790,262825_at
AT1G11800,262821_at
AT1G11840,264372_at
AT1G11850,264343_at
AT1G11860,264394_at
